StudentID,SubjectName,SubjectType,Grade
STU00114,Photography,Elective,90
STU00115,Physical Education,Elective,78
STU00116,History,Core,74
STU00117,Debate,Elective,74
STU00118,Mathematics,Core,57
STU00119,Mathematics,Core,79
STU00120,Drama,Elective,96
STU00121,Music,Elective,87
STU00122,Geography,Core,60
STU00123,History,Core,78
STU00124,Science,Core,75
STU00125,Science,Core,70
STU00126,Physical Education,Elective,100
STU00127,History,Core,77
STU00128,Dance,Elective,58
STU00129,Cooking,Elective,66
STU00130,History,Core,86
STU00131,English,Core,66
STU00132,English,Core,93
STU00133,History,Core,60
STU00134,Computer Science,Elective,75
STU00135,Music,Elective,83
STU00136,Robotics,Elective,85
STU00137,Geography,Core,70
STU00138,Science,Core,75
STU00139,Cooking,Elective,100
STU00140,Art,Elective,74
STU00141,Art,Elective,88
STU00142,Computer Science,Elective,75
STU00143,Physical Education,Elective,80
STU00144,Mathematics,Core,68
STU00145,Mathematics,Core,73
STU00146,Physical Education,Elective,78
STU00147,English,Core,85
STU00148,Debate,Elective,66
STU00149,English,Core,68
STU00150,Physical Education,Elective,84
STU00151,Cooking,Elective,91
STU00152,Cooking,Elective,59
STU00153,Drama,Elective,63
STU00154,History,Core,74
STU00155,History,Core,81
STU00156,Physical Education,Elective,93
STU00157,Robotics,Elective,84
STU00158,Photography,Elective,100
STU00159,History,Core,90
STU00160,Debate,Elective,92
STU00161,Geography,Core,62
STU00162,History,Core,92
STU00163,Art,Elective,71
STU00164,Geography,Core,73
STU00165,English,Core,86
STU00166,Robotics,Elective,67
STU00167,Cooking,Elective,49
STU00168,Drama,Elective,83
STU00169,Art,Elective,88
STU00170,Geography,Core,83
STU00171,Computer Science,Elective,54
STU00172,Computer Science,Elective,92
STU00173,Mathematics,Core,66
STU00174,Drama,Elective,92
STU00175,Music,Elective,61
STU00176,Photography,Elective,54
STU00177,Drama,Elective,94
STU00178,Mathematics,Core,79
STU00179,Mathematics,Core,88
STU00180,Geography,Core,87
STU00181,Debate,Elective,70
STU00182,Geography,Core,69
STU00183,English,Core,59
STU00184,Mathematics,Core,84
STU00185,Science,Core,81
STU00186,Photography,Elective,73
STU00187,Physical Education,Elective,66
STU00188,English,Core,66
STU00189,Physical Education,Elective,90
STU00190,Science,Core,72
STU00191,Mathematics,Core,87
STU00192,Mathematics,Core,89
STU00193,Science,Core,72
STU00194,Art,Elective,92
STU00195,English,Core,93
STU00196,English,Core,69
STU00197,Cooking,Elective,86
STU00198,Mathematics,Core,71
STU00199,History,Core,72
STU00200,Art,Elective,88
STU00201,English,Core,82
STU00202,Drama,Elective,48
STU00203,History,Core,89
STU00204,Mathematics,Core,73
STU00205,Computer Science,Elective,80
STU00206,Drama,Elective,65
STU00207,Science,Core,77
STU00208,Drama,Elective,96
STU00209,Science,Core,72
STU00210,Geography,Core,84
STU00211,Music,Elective,65
STU00212,Mathematics,Core,87
STU00213,Dance,Elective,68
STU00214,Geography,Core,55
STU00215,Mathematics,Core,100
STU00216,History,Core,76
STU00217,Drama,Elective,77
STU00218,Cooking,Elective,100
STU00219,Drama,Elective,45
STU00220,Photography,Elective,65
STU00221,Science,Core,69
STU00222,Computer Science,Elective,100
STU00223,Geography,Core,91
STU00224,Science,Core,91
STU00225,Geography,Core,69
STU00226,Geography,Core,78
STU00227,Robotics,Elective,63
STU00228,Photography,Elective,60
STU00229,History,Core,100
STU00230,English,Core,61
STU00231,Cooking,Elective,77
STU00232,History,Core,58
STU00233,History,Core,71
STU00234,Physical Education,Elective,58
STU00235,English,Core,75
STU00236,Mathematics,Core,71
STU00237,Science,Core,81
STU00238,Science,Core,73
STU00239,Photography,Elective,78
STU00240,English,Core,83
STU00241,History,Core,77
STU00242,Music,Elective,73
STU00243,Music,Elective,56
STU00244,Mathematics,Core,100
STU00245,History,Core,70
STU00246,Dance,Elective,90
STU00247,Music,Elective,90
STU00248,Mathematics,Core,70
STU00249,Geography,Core,74
STU00250,Debate,Elective,84
STU00251,Geography,Core,82
STU00252,Art,Elective,84
STU00253,Dance,Elective,100
STU00254,Geography,Core,66
STU00255,Computer Science,Elective,84
STU00256,History,Core,94
STU00257,English,Core,66
STU00258,Geography,Core,83
STU00259,Science,Core,100
STU00260,Science,Core,61
STU00261,Mathematics,Core,75
STU00262,Music,Elective,75
STU00263,Cooking,Elective,68
STU00264,Mathematics,Core,88
STU00265,History,Core,96
STU00266,History,Core,69
STU00267,Science,Core,92
STU00268,Geography,Core,74
STU00269,Mathematics,Core,71
STU00270,Music,Elective,85
STU00271,Dance,Elective,64
STU00272,Mathematics,Core,74
STU00273,History,Core,95
STU00274,Art,Elective,70
STU00275,Drama,Elective,71
STU00276,Mathematics,Core,98
STU00277,English,Core,84
STU00278,English,Core,71
STU00279,Computer Science,Elective,80
STU00280,English,Core,100
STU00281,Debate,Elective,100
STU00282,Robotics,Elective,33
STU00283,English,Core,66
STU00284,Dance,Elective,52
STU00285,Dance,Elective,85
STU00286,History,Core,85
STU00287,Physical Education,Elective,75
STU00288,Drama,Elective,82
STU00289,Science,Core,76
STU00290,Computer Science,Elective,88
STU00291,History,Core,63
STU00292,Geography,Core,74
STU00293,Cooking,Elective,67
STU00294,Cooking,Elective,47
STU00295,English,Core,100
STU00296,Mathematics,Core,100
STU00297,English,Core,78
STU00298,English,Core,70
STU00299,English,Core,73
STU00300,Dance,Elective,91
STU00301,English,Core,76
STU00302,Photography,Elective,100
STU00303,Computer Science,Elective,68
STU00304,Geography,Core,77
STU00305,Drama,Elective,67
STU00306,English,Core,73
STU00307,Science,Core,72
STU00308,English,Core,62
STU00309,Robotics,Elective,70
STU00310,Geography,Core,68
STU00311,Music,Elective,91
STU00312,Robotics,Elective,100
STU00313,Science,Core,57
STU00314,Physical Education,Elective,69
STU00315,History,Core,76
STU00316,Science,Core,90
STU00317,English,Core,77
STU00318,Art,Elective,80
STU00319,Science,Core,81
STU00320,Drama,Elective,82
STU00321,English,Core,70
STU00322,Music,Elective,79
STU00323,Mathematics,Core,90
STU00324,Mathematics,Core,66
STU00325,Geography,Core,80
STU00326,Computer Science,Elective,80
STU00327,Geography,Core,81
STU00328,Mathematics,Core,63
STU00329,English,Core,69
STU00330,Robotics,Elective,100
STU00331,English,Core,76
STU00332,Debate,Elective,73
STU00333,History,Core,75
STU00334,Music,Elective,72
STU00335,History,Core,76
STU00336,Debate,Elective,100
STU00337,Drama,Elective,86
STU00338,Geography,Core,57
STU00339,Mathematics,Core,87
STU00340,Mathematics,Core,62
STU00341,Art,Elective,83
STU00342,Debate,Elective,73
STU00343,Robotics,Elective,77
STU00344,Art,Elective,100
STU00345,History,Core,82
STU00346,History,Core,72
STU00347,History,Core,73
STU00348,Geography,Core,51
STU00349,Debate,Elective,56
STU00350,Science,Core,75
STU00351,English,Core,57
STU00352,English,Core,67
STU00353,Computer Science,Elective,100
STU00354,English,Core,62
STU00355,Mathematics,Core,66
STU00356,English,Core,78
STU00357,English,Core,87
STU00358,History,Core,82
STU00359,Music,Elective,81
STU00360,Dance,Elective,79
STU00361,Science,Core,81
STU00362,Art,Elective,74
STU00363,Drama,Elective,84
STU00364,Geography,Core,70
STU00365,Photography,Elective,88
STU00366,Geography,Core,82
STU00367,Geography,Core,71
STU00368,Physical Education,Elective,61
STU00369,Drama,Elective,61
STU00370,Robotics,Elective,76
STU00371,Geography,Core,52
STU00372,Physical Education,Elective,83
STU00373,Art,Elective,78
STU00374,Drama,Elective,63
STU00375,Science,Core,64
STU00376,Art,Elective,73
STU00377,History,Core,93
STU00378,History,Core,90
STU00379,Geography,Core,73
STU00380,Cooking,Elective,60
STU00381,Geography,Core,72
STU00382,History,Core,67
STU00383,Mathematics,Core,82
STU00384,Geography,Core,29
STU00385,Science,Core,84
STU00386,History,Core,81
STU00387,English,Core,63
STU00388,Science,Core,76
STU00389,Photography,Elective,65
STU00390,Photography,Elective,84
STU00391,Computer Science,Elective,96
STU00392,Music,Elective,74
STU00393,Geography,Core,81
STU00394,Dance,Elective,82
STU00395,Geography,Core,83
STU00396,English,Core,63
STU00397,Physical Education,Elective,72
STU00398,Cooking,Elective,86
STU00399,Physical Education,Elective,67
STU00400,Computer Science,Elective,100
STU00401,English,Core,78
STU00402,English,Core,88
STU00403,Robotics,Elective,90
STU00404,Cooking,Elective,84
STU00405,Science,Core,62
STU00406,Art,Elective,79
STU00407,History,Core,62
STU00408,Geography,Core,86
STU00409,Science,Core,80
STU00410,Mathematics,Core,84
STU00411,Dance,Elective,85
STU00412,English,Core,63
STU00413,History,Core,85
STU00414,Drama,Elective,81
STU00415,Science,Core,67
STU00416,Science,Core,81
STU00417,Cooking,Elective,91
STU00418,History,Core,87
STU00419,Geography,Core,78
STU00420,Music,Elective,88
STU00421,Drama,Elective,99
STU00422,Robotics,Elective,72
STU00423,Geography,Core,69
STU00424,History,Core,86
STU00425,Drama,Elective,90
STU00426,Photography,Elective,77
STU00427,Physical Education,Elective,92
STU00428,Art,Elective,68
STU00429,Physical Education,Elective,85
STU00430,English,Core,93
STU00431,Cooking,Elective,93
STU00432,Robotics,Elective,75
STU00433,Mathematics,Core,67
STU00434,Computer Science,Elective,88
STU00435,History,Core,70
STU00436,Drama,Elective,69
STU00437,Physical Education,Elective,85
STU00438,Art,Elective,83
STU00439,Mathematics,Core,69
STU00440,Music,Elective,86
STU00441,Cooking,Elective,74
STU00442,History,Core,82
STU00443,Science,Core,74
STU00444,Geography,Core,100
STU00445,Mathematics,Core,94
STU00446,Mathematics,Core,61
STU00447,Science,Core,80
STU00448,Cooking,Elective,100
STU00449,Science,Core,57
STU00450,Geography,Core,81
STU00451,Mathematics,Core,82
STU00452,Robotics,Elective,44
STU00453,English,Core,81
STU00454,Physical Education,Elective,81
STU00455,Science,Core,62
STU00456,Photography,Elective,86
STU00457,Photography,Elective,65
STU00458,Music,Elective,60
STU00459,Debate,Elective,87
STU00460,Photography,Elective,98
STU00461,English,Core,90
STU00462,History,Core,85
STU00463,Debate,Elective,60
STU00464,Art,Elective,78
STU00465,Mathematics,Core,83
STU00466,History,Core,76
STU00467,Dance,Elective,67
STU00468,Geography,Core,86
STU00469,English,Core,59
STU00470,Art,Elective,77
STU00471,Photography,Elective,73
STU00472,English,Core,89
STU00473,Music,Elective,43
STU00474,English,Core,61
STU00475,English,Core,71
STU00476,Robotics,Elective,95
STU00477,English,Core,75
STU00478,History,Core,65
STU00479,Computer Science,Elective,72
STU00480,Music,Elective,80
STU00481,History,Core,75
STU00482,Music,Elective,56
STU00483,History,Core,65
STU00484,Cooking,Elective,91
STU00485,Geography,Core,62
STU00486,Science,Core,72
STU00487,Dance,Elective,100
STU00488,Drama,Elective,80
STU00489,Dance,Elective,69
STU00490,Computer Science,Elective,98
STU00491,Mathematics,Core,82
STU00492,History,Core,99
STU00493,Art,Elective,68
STU00494,Physical Education,Elective,100
STU00495,History,Core,59
STU00496,History,Core,76
STU00497,Drama,Elective,80
STU00498,Drama,Elective,70
STU00499,History,Core,76
STU00500,Robotics,Elective,58
STU00501,Robotics,Elective,86
STU00502,Music,Elective,80
STU00503,Geography,Core,67
STU00504,Cooking,Elective,84
STU00505,Mathematics,Core,85
STU00506,Robotics,Elective,100
STU00507,Science,Core,86
STU00508,Mathematics,Core,90
STU00509,English,Core,60
STU00510,Physical Education,Elective,86
STU00511,Mathematics,Core,66
STU00512,Geography,Core,69
STU00513,History,Core,88
STU00514,Cooking,Elective,80
STU00515,Geography,Core,100
STU00516,Science,Core,64
STU00517,History,Core,81
STU00518,Art,Elective,61
STU00519,Art,Elective,67
STU00520,Science,Core,82
STU00521,History,Core,78
STU00522,History,Core,71
STU00523,English,Core,90
STU00524,English,Core,84
STU00525,Cooking,Elective,80
STU00526,Photography,Elective,76
STU00527,Geography,Core,74
STU00528,Art,Elective,63
STU00529,Debate,Elective,74
STU00530,Science,Core,85
STU00531,Cooking,Elective,72
STU00532,Photography,Elective,94
STU00533,Dance,Elective,87
STU00534,History,Core,57
STU00535,Art,Elective,85
STU00536,English,Core,71
STU00537,Physical Education,Elective,85
STU00538,Dance,Elective,66
STU00539,Mathematics,Core,98
STU00540,Physical Education,Elective,100
STU00541,English,Core,67
STU00542,English,Core,55
STU00543,Art,Elective,80
STU00544,Dance,Elective,92
STU00545,Robotics,Elective,65
STU00546,Science,Core,75
STU00547,Physical Education,Elective,62
STU00548,Science,Core,65
STU00549,English,Core,68
STU00550,Cooking,Elective,81
STU00551,Art,Elective,93
STU00552,Geography,Core,91
STU00553,Dance,Elective,59
STU00554,Drama,Elective,52
STU00555,Computer Science,Elective,98
STU00556,Mathematics,Core,67
STU00557,Debate,Elective,94
STU00558,Music,Elective,73
STU00559,Art,Elective,75
STU00560,Mathematics,Core,76
STU00561,Art,Elective,67
STU00562,Dance,Elective,42
STU00563,Geography,Core,54
STU00564,Debate,Elective,74
STU00565,Science,Core,76
STU00566,Science,Core,63
STU00567,English,Core,77
STU00568,Mathematics,Core,80
STU00569,Geography,Core,77
STU00570,Mathematics,Core,58
STU00571,Geography,Core,67
STU00572,Physical Education,Elective,100
STU00573,Computer Science,Elective,78
STU00574,History,Core,92
STU00575,Mathematics,Core,56
STU00576,Physical Education,Elective,94
STU00577,Mathematics,Core,86
STU00578,English,Core,78
STU00579,History,Core,66
STU00580,Physical Education,Elective,90
STU00581,Geography,Core,96
STU00582,History,Core,82
STU00583,History,Core,91
STU00584,Debate,Elective,94
STU00585,Computer Science,Elective,88
STU00586,Robotics,Elective,95
STU00587,Science,Core,65
STU00588,Photography,Elective,42
STU00589,Dance,Elective,80
STU00590,Geography,Core,73
STU00591,Art,Elective,78
STU00592,Photography,Elective,83
STU00593,History,Core,60
STU00594,Music,Elective,93
STU00595,History,Core,63
STU00596,Physical Education,Elective,61
STU00597,Science,Core,84
STU00598,Music,Elective,75
STU00599,English,Core,80
STU00600,Science,Core,95
STU00601,Debate,Elective,87
STU00602,Geography,Core,81
STU00603,History,Core,76
STU00604,Robotics,Elective,76
STU00605,Drama,Elective,72
STU00606,History,Core,70
STU00607,English,Core,70
STU00608,Photography,Elective,80
STU00609,Dance,Elective,82
STU00610,Mathematics,Core,82
STU00611,Science,Core,88
STU00612,Mathematics,Core,57
STU00613,Computer Science,Elective,72
STU00614,Geography,Core,86
STU00615,Mathematics,Core,100
STU00616,History,Core,59
STU00617,Geography,Core,64
STU00618,Science,Core,46
STU00619,Art,Elective,88
STU00620,Science,Core,61
STU00621,English,Core,77
STU00622,Science,Core,85
STU00623,Music,Elective,100
STU00624,History,Core,82
STU00625,English,Core,87
STU00626,History,Core,75
STU00627,Cooking,Elective,100
STU00628,Science,Core,88
STU00629,Music,Elective,85
STU00630,Photography,Elective,100
STU00631,Mathematics,Core,77
STU00632,Debate,Elective,91
STU00633,English,Core,72
STU00634,Cooking,Elective,76
STU00635,Music,Elective,76
STU00636,Music,Elective,100
STU00637,History,Core,80
STU00638,Geography,Core,72
STU00639,English,Core,74
STU00640,Dance,Elective,73
STU00641,English,Core,78
STU00642,Science,Core,94
STU00643,English,Core,89
STU00644,Dance,Elective,49
STU00645,Drama,Elective,67
STU00646,Geography,Core,85
STU00647,English,Core,94
STU00648,Physical Education,Elective,72
STU00649,Mathematics,Core,84
STU00650,Mathematics,Core,77
STU00651,Dance,Elective,79
STU00652,Computer Science,Elective,63
STU00653,English,Core,91
STU00654,Drama,Elective,59
STU00655,Robotics,Elective,98
STU00656,Cooking,Elective,73
STU00657,Physical Education,Elective,74
STU00658,Geography,Core,68
STU00659,Dance,Elective,78
STU00660,Photography,Elective,82
STU00661,Geography,Core,76
STU00662,Mathematics,Core,72
STU00663,Science,Core,67
STU00664,Photography,Elective,88
STU00665,History,Core,77
STU00666,Music,Elective,76
STU00667,Cooking,Elective,81
STU00668,Science,Core,84
STU00669,Art,Elective,41
STU00670,Science,Core,96
STU00671,Debate,Elective,88
STU00672,Geography,Core,59
STU00673,Science,Core,70
STU00674,Mathematics,Core,75
STU00675,History,Core,71
STU00676,History,Core,79
STU00677,Debate,Elective,77
STU00678,Geography,Core,85
STU00679,History,Core,69
STU00680,Computer Science,Elective,82
STU00681,Art,Elective,100
STU00682,Science,Core,98
STU00683,Dance,Elective,84
STU00684,Geography,Core,100
STU00685,History,Core,72
STU00686,Mathematics,Core,94
STU00687,Geography,Core,84
STU00688,Debate,Elective,87
STU00689,History,Core,77
STU00690,History,Core,84
STU00691,Computer Science,Elective,100
STU00692,History,Core,92
STU00693,Science,Core,83
STU00694,Mathematics,Core,80
STU00695,History,Core,54
STU00696,Mathematics,Core,53
STU00697,Photography,Elective,73
STU00698,Dance,Elective,86
STU00699,Debate,Elective,85
STU00700,Dance,Elective,71
STU00701,Drama,Elective,65
STU00702,English,Core,87
STU00703,Debate,Elective,46
STU00704,Mathematics,Core,89
STU00705,Dance,Elective,70
STU00706,Geography,Core,94
STU00707,English,Core,60
STU00708,Photography,Elective,56
STU00709,Drama,Elective,100
STU00710,History,Core,80
STU00711,Mathematics,Core,65
STU00712,Geography,Core,82
STU00713,History,Core,57
STU00714,English,Core,45
STU00715,Debate,Elective,57
STU00716,Science,Core,88
STU00717,Science,Core,91
STU00718,Mathematics,Core,78
STU00719,Physical Education,Elective,86
STU00720,Geography,Core,80
STU00721,Photography,Elective,65
STU00722,Drama,Elective,100
STU00723,Music,Elective,100
STU00724,Science,Core,68
STU00725,Physical Education,Elective,75
STU00726,Mathematics,Core,64
STU00727,Drama,Elective,80
STU00728,Cooking,Elective,70
STU00729,Science,Core,79
STU00730,Mathematics,Core,45
STU00731,Geography,Core,72
STU00732,Photography,Elective,100
STU00733,English,Core,74
STU00734,Geography,Core,73
STU00735,Geography,Core,65
STU00736,Computer Science,Elective,45
STU00737,Geography,Core,71
STU00738,Mathematics,Core,81
STU00739,Dance,Elective,72
STU00740,Physical Education,Elective,75
STU00741,Photography,Elective,79
STU00742,Dance,Elective,81
STU00743,Dance,Elective,82
STU00744,Dance,Elective,100
STU00745,Science,Core,78
STU00746,Robotics,Elective,64
STU00747,Music,Elective,59
STU00748,History,Core,70
STU00749,Computer Science,Elective,72
STU00750,Robotics,Elective,85
STU00751,Robotics,Elective,84
STU00752,Mathematics,Core,78
STU00753,Drama,Elective,82
STU00754,History,Core,77
STU00755,Science,Core,68
STU00756,Geography,Core,77
STU00757,Debate,Elective,57
STU00758,Music,Elective,77
STU00759,Physical Education,Elective,52
STU00760,Mathematics,Core,84
STU00761,Music,Elective,78
STU00762,History,Core,58
STU00763,Dance,Elective,71
STU00764,Physical Education,Elective,68
STU00765,Mathematics,Core,69
STU00766,Geography,Core,73
STU00767,Science,Core,96
STU00768,Mathematics,Core,99
STU00769,Science,Core,90
STU00770,English,Core,81
STU00771,Photography,Elective,65
STU00772,Geography,Core,63
STU00773,History,Core,85
STU00774,Music,Elective,90
STU00775,Computer Science,Elective,79
STU00776,Physical Education,Elective,100
STU00777,Art,Elective,72
STU00778,Physical Education,Elective,62
STU00779,English,Core,92
STU00780,Geography,Core,84
STU00781,History,Core,62
STU00782,English,Core,58
STU00783,Photography,Elective,55
STU00784,English,Core,56
STU00785,English,Core,58
STU00786,Music,Elective,80
STU00787,English,Core,87
STU00788,Computer Science,Elective,80
STU00789,History,Core,79
STU00790,Mathematics,Core,73
STU00791,Cooking,Elective,100
STU00792,Mathematics,Core,85
STU00793,Science,Core,60
STU00794,Mathematics,Core,84
STU00795,History,Core,61
STU00796,Photography,Elective,99
STU00797,Photography,Elective,76
STU00798,Photography,Elective,90
STU00799,Photography,Elective,64
STU00800,Computer Science,Elective,64
STU00801,Mathematics,Core,77
STU00802,Geography,Core,77
STU00803,Dance,Elective,70
STU00804,English,Core,60
STU00805,Mathematics,Core,96
STU00806,Debate,Elective,73
STU00807,Cooking,Elective,71
STU00808,Music,Elective,45
STU00809,Computer Science,Elective,69
STU00810,Art,Elective,100
STU00811,History,Core,80
STU00812,Mathematics,Core,79
STU00813,Cooking,Elective,73
STU00814,Science,Core,71
STU00815,Cooking,Elective,72
STU00816,Dance,Elective,62
STU00817,Dance,Elective,86
STU00818,Dance,Elective,86
STU00819,Mathematics,Core,84
STU00820,History,Core,100
STU00821,Geography,Core,68
STU00822,Debate,Elective,91
STU00823,Cooking,Elective,77
STU00824,Physical Education,Elective,84
STU00825,Computer Science,Elective,99
STU00826,Geography,Core,86
STU00827,Computer Science,Elective,87
STU00828,Debate,Elective,95
STU00829,Robotics,Elective,59
STU00830,Science,Core,68
STU00831,Cooking,Elective,66
STU00832,Computer Science,Elective,100
STU00833,Music,Elective,90
STU00834,Art,Elective,43
STU00835,Cooking,Elective,88
STU00836,History,Core,91
STU00837,Science,Core,94
STU00838,Cooking,Elective,65
STU00839,Mathematics,Core,60
STU00840,Science,Core,67
STU00841,Physical Education,Elective,92
STU00842,Photography,Elective,100
STU00843,Science,Core,64
STU00844,Robotics,Elective,90
STU00845,Dance,Elective,99
STU00846,Mathematics,Core,65
STU00847,Cooking,Elective,54
STU00848,History,Core,61
STU00849,Drama,Elective,72
STU00850,Drama,Elective,84
STU00851,Geography,Core,96
STU00852,Science,Core,67
STU00853,Robotics,Elective,91
STU00854,Geography,Core,84
STU00855,Geography,Core,56
STU00856,Drama,Elective,96
STU00857,English,Core,80
STU00858,Music,Elective,88
STU00859,Debate,Elective,65
STU00860,Science,Core,94
STU00861,Geography,Core,94
STU00862,History,Core,92
STU00863,Cooking,Elective,69
STU00864,English,Core,79
STU00865,Debate,Elective,76
STU00866,History,Core,72
STU00867,History,Core,51
STU00868,History,Core,100
STU00869,English,Core,92
STU00870,Photography,Elective,84
STU00871,Computer Science,Elective,83
STU00872,Drama,Elective,63
STU00873,Computer Science,Elective,73
STU00874,Science,Core,100
STU00875,Science,Core,74
STU00876,Science,Core,87
STU00877,Photography,Elective,87
STU00878,Mathematics,Core,85
STU00879,Art,Elective,59
STU00880,History,Core,51
STU00881,Mathematics,Core,77
STU00882,Art,Elective,89
STU00883,History,Core,84
STU00884,Mathematics,Core,100
STU00885,Cooking,Elective,84
STU00886,History,Core,83
STU00887,Cooking,Elective,87
STU00888,History,Core,59
STU00889,Geography,Core,78
STU00890,Geography,Core,79
STU00891,Science,Core,88
STU00892,Geography,Core,85
STU00893,Robotics,Elective,65
STU00894,Art,Elective,100
STU00895,Geography,Core,78
STU00896,Music,Elective,65
STU00897,Geography,Core,81
STU00898,Drama,Elective,72
STU00899,English,Core,61
STU00900,English,Core,63
STU00901,Art,Elective,79
STU00902,Photography,Elective,97
STU00903,Geography,Core,100
STU00904,Photography,Elective,69
STU00905,Debate,Elective,47
STU00906,Music,Elective,54
STU00907,Mathematics,Core,81
STU00908,Mathematics,Core,74
STU00909,History,Core,70
STU00910,Computer Science,Elective,73
STU00911,Computer Science,Elective,80
STU00912,English,Core,81
STU00913,Drama,Elective,90
STU00914,Cooking,Elective,88
STU00915,Physical Education,Elective,78
STU00916,English,Core,67
STU00917,Robotics,Elective,100
STU00918,History,Core,69
STU00919,History,Core,88
STU00920,Drama,Elective,50
STU00921,Physical Education,Elective,87
STU00922,Drama,Elective,76
STU00923,Computer Science,Elective,84
STU00924,English,Core,61
STU00925,History,Core,71
STU00926,Geography,Core,67
STU00927,English,Core,83
STU00928,English,Core,45
STU00929,Mathematics,Core,95
STU00930,Drama,Elective,96
STU00931,Cooking,Elective,66
STU00932,History,Core,72
STU00933,Dance,Elective,87
STU00934,Photography,Elective,100
STU00935,History,Core,75
STU00936,Computer Science,Elective,64
STU00937,Robotics,Elective,100
STU00938,English,Core,72
STU00939,Dance,Elective,65
STU00940,Cooking,Elective,66
STU00941,Mathematics,Core,68
STU00942,Photography,Elective,93
STU00943,History,Core,66
STU00944,English,Core,64
STU00945,Science,Core,61
STU00946,English,Core,54
STU00947,Robotics,Elective,90
STU00948,Robotics,Elective,69
STU00949,Physical Education,Elective,100
STU00950,Science,Core,65
STU00951,Mathematics,Core,70
STU00952,Debate,Elective,56
STU00953,Robotics,Elective,94
STU00954,Drama,Elective,86
STU00955,Cooking,Elective,100
STU00956,Science,Core,93
STU00957,Drama,Elective,53
STU00958,History,Core,87
STU00959,Robotics,Elective,99
STU00960,Geography,Core,59
STU00961,Cooking,Elective,82
STU00962,Music,Elective,100
STU00963,Cooking,Elective,78
STU00964,Mathematics,Core,75
STU00965,Mathematics,Core,60
STU00966,History,Core,74
STU00967,Geography,Core,90
STU00968,English,Core,88
STU00969,Drama,Elective,89
STU00970,Science,Core,73
STU00971,Geography,Core,90
STU00972,Mathematics,Core,73
STU00973,Robotics,Elective,68
STU00974,Geography,Core,78
STU00975,Science,Core,77
STU00976,Cooking,Elective,94
STU00977,Geography,Core,70
