BULK IMPORT LOG
Timestamp: 2026-01-03 13:22:34
Source File: grade_records.csv
Format: 5 columns, with GradeID
Has Header: true
=========================================

Line 1: SKIPPED - Header row: ﻿GradeRecordID,StudentID,SubjectName,SubjectType,Grade
Row 1: SUCCESS - GRD00001, STU001, Music (Elective), 95.0%
Row 33: SUCCESS - GRD00033, STU033, Mathematics (Core), 99.0%
Row 34: SUCCESS - GRD00034, STU034, English (Core), 78.0%
Row 35: SUCCESS - GRD00035, STU035, Science (Core), 62.0%
Row 36: SUCCESS - GRD00036, STU036, Geography (Core), 88.0%
Row 37: SUCCESS - GRD00037, STU037, Art (Elective), 42.0%
Row 38: SUCCESS - GRD00038, STU038, Drama (Elective), 73.0%
Row 39: SUCCESS - GRD00039, STU039, Computer Science (Elective), 59.0%
Row 40: SUCCESS - GRD00040, STU040, Robotics (Elective), 48.0%
Row 41: SUCCESS - GRD00041, STU041, Physical Education (Elective), 50.0%
Row 42: SUCCESS - GRD00042, STU042, Dance (Elective), 76.0%
Row 43: SUCCESS - GRD00043, STU043, Cooking (Elective), 46.0%
Row 44: SUCCESS - GRD00044, STU044, Photography (Elective), 68.0%
Row 45: SUCCESS - GRD00045, STU045, Debate (Elective), 75.0%
Row 46: SUCCESS - GRD00046, STU046, Music (Elective), 90.0%
Row 47: SUCCESS - GRD00047, STU047, History (Core), 77.0%
Row 48: SUCCESS - GRD00048, STU048, Mathematics (Core), 88.0%
Row 49: SUCCESS - GRD00049, STU049, English (Core), 83.0%
Row 50: SUCCESS - GRD00050, STU050, Science (Core), 66.0%
Row 51: SUCCESS - GRD00051, STU001, Geography (Core), 40.0%
Row 52: SUCCESS - GRD00052, STU002, Art (Elective), 71.0%
Row 53: SUCCESS - GRD00053, STU003, Drama (Elective), 65.0%
Row 54: SUCCESS - GRD00054, STU004, Computer Science (Elective), 87.0%
Row 55: SUCCESS - GRD00055, STU005, Robotics (Elective), 85.0%
Row 56: SUCCESS - GRD00056, STU006, Physical Education (Elective), 100.0%
Row 57: SUCCESS - GRD00057, STU007, Dance (Elective), 80.0%
Row 58: SUCCESS - GRD00058, STU008, Cooking (Elective), 72.0%
Row 59: SUCCESS - GRD00059, STU009, Photography (Elective), 52.0%
Row 60: SUCCESS - GRD00060, STU010, Debate (Elective), 73.0%
Row 61: SUCCESS - GRD00061, STU011, Music (Elective), 99.0%
Row 62: SUCCESS - GRD00062, STU012, History (Core), 71.0%
Row 63: SUCCESS - GRD00063, STU013, Mathematics (Core), 94.0%
Row 64: SUCCESS - GRD00064, STU014, English (Core), 46.0%
Row 65: SUCCESS - GRD00065, STU015, Science (Core), 80.0%
Row 66: SUCCESS - GRD00066, STU016, Geography (Core), 87.0%
Row 67: SUCCESS - GRD00067, STU017, Art (Elective), 92.0%
Row 68: SUCCESS - GRD00068, STU018, Drama (Elective), 61.0%
Row 69: SUCCESS - GRD00069, STU019, Computer Science (Elective), 46.0%
Row 70: SUCCESS - GRD00070, STU020, Robotics (Elective), 68.0%
Row 71: SUCCESS - GRD00071, STU021, Physical Education (Elective), 58.0%
Row 72: SUCCESS - GRD00072, STU022, Dance (Elective), 85.0%
Row 73: SUCCESS - GRD00073, STU023, Cooking (Elective), 96.0%
Row 74: SUCCESS - GRD00074, STU024, Photography (Elective), 81.0%
Row 75: SUCCESS - GRD00075, STU025, Debate (Elective), 81.0%
Row 76: SUCCESS - GRD00076, STU026, Music (Elective), 96.0%
Row 77: SUCCESS - GRD00077, STU027, History (Core), 79.0%
Row 78: SUCCESS - GRD00078, STU028, Mathematics (Core), 95.0%
Row 79: SUCCESS - GRD00079, STU029, English (Core), 40.0%
Row 80: SUCCESS - GRD00080, STU030, Science (Core), 67.0%
Row 81: SUCCESS - GRD00081, STU031, Geography (Core), 95.0%
Row 82: SUCCESS - GRD00082, STU032, Art (Elective), 48.0%
Row 83: SUCCESS - GRD00083, STU033, Drama (Elective), 53.0%
Row 84: SUCCESS - GRD00084, STU034, Computer Science (Elective), 84.0%
Row 85: SUCCESS - GRD00085, STU035, Robotics (Elective), 40.0%
Row 86: SUCCESS - GRD00086, STU036, Physical Education (Elective), 77.0%
Row 87: SUCCESS - GRD00087, STU037, Dance (Elective), 60.0%
Row 88: SUCCESS - GRD00088, STU038, Cooking (Elective), 59.0%
Row 89: SUCCESS - GRD00089, STU039, Photography (Elective), 51.0%
Row 90: SUCCESS - GRD00090, STU040, Debate (Elective), 59.0%
Row 91: SUCCESS - GRD00091, STU041, Music (Elective), 43.0%
Row 92: SUCCESS - GRD00092, STU042, History (Core), 61.0%
Row 93: SUCCESS - GRD00093, STU043, Mathematics (Core), 97.0%
Row 94: SUCCESS - GRD00094, STU044, English (Core), 54.0%
Row 95: SUCCESS - GRD00095, STU045, Science (Core), 83.0%
Row 96: SUCCESS - GRD00096, STU046, Geography (Core), 46.0%
Row 97: SUCCESS - GRD00097, STU047, Art (Elective), 68.0%
Row 98: SUCCESS - GRD00098, STU048, Drama (Elective), 92.0%
Row 99: SUCCESS - GRD00099, STU049, Computer Science (Elective), 45.0%
Row 100: SUCCESS - GRD00100, STU050, Robotics (Elective), 64.0%
Row 101: SUCCESS - GRD00101, STU001, Physical Education (Elective), 57.0%
Row 102: SUCCESS - GRD00102, STU002, Dance (Elective), 75.0%
Row 103: SUCCESS - GRD00103, STU003, Cooking (Elective), 55.0%
Row 104: SUCCESS - GRD00104, STU004, Photography (Elective), 40.0%
Row 105: SUCCESS - GRD00105, STU005, Debate (Elective), 70.0%
Row 106: SUCCESS - GRD00106, STU006, Music (Elective), 49.0%
Row 107: SUCCESS - GRD00107, STU007, History (Core), 47.0%
Row 108: SUCCESS - GRD00108, STU008, Mathematics (Core), 87.0%
Row 109: SUCCESS - GRD00109, STU009, English (Core), 77.0%
Row 110: SUCCESS - GRD00110, STU010, Science (Core), 99.0%
Row 111: SUCCESS - GRD00111, STU011, Geography (Core), 70.0%
Row 112: SUCCESS - GRD00112, STU012, Art (Elective), 53.0%
Row 113: SUCCESS - GRD00113, STU013, Drama (Elective), 57.0%
Row 114: SUCCESS - GRD00114, STU014, Computer Science (Elective), 65.0%
Row 115: SUCCESS - GRD00115, STU015, Robotics (Elective), 94.0%
Row 116: SUCCESS - GRD00116, STU016, Physical Education (Elective), 66.0%
Row 117: SUCCESS - GRD00117, STU017, Dance (Elective), 44.0%
Row 118: SUCCESS - GRD00118, STU018, Cooking (Elective), 78.0%
Row 119: SUCCESS - GRD00119, STU019, Photography (Elective), 98.0%
Row 120: SUCCESS - GRD00120, STU020, Debate (Elective), 68.0%
Row 121: SUCCESS - GRD00121, STU021, Music (Elective), 59.0%
Row 122: SUCCESS - GRD00122, STU022, History (Core), 67.0%
Row 123: SUCCESS - GRD00123, STU023, Mathematics (Core), 68.0%
Row 124: SUCCESS - GRD00124, STU024, English (Core), 72.0%
Row 125: SUCCESS - GRD00125, STU025, Science (Core), 89.0%
Row 126: SUCCESS - GRD00126, STU026, Geography (Core), 75.0%
Row 127: SUCCESS - GRD00127, STU027, Art (Elective), 99.0%
Row 128: SUCCESS - GRD00128, STU028, Drama (Elective), 89.0%
Row 129: SUCCESS - GRD00129, STU029, Computer Science (Elective), 98.0%
Row 130: SUCCESS - GRD00130, STU030, Robotics (Elective), 44.0%
Row 131: SUCCESS - GRD00131, STU031, Physical Education (Elective), 96.0%
Row 132: SUCCESS - GRD00132, STU032, Dance (Elective), 62.0%
Row 133: SUCCESS - GRD00133, STU033, Cooking (Elective), 56.0%
Row 134: SUCCESS - GRD00134, STU034, Photography (Elective), 45.0%
Row 135: SUCCESS - GRD00135, STU035, Debate (Elective), 100.0%
Row 136: SUCCESS - GRD00136, STU036, Music (Elective), 41.0%
Row 137: SUCCESS - GRD00137, STU037, History (Core), 89.0%
Row 138: SUCCESS - GRD00138, STU038, Mathematics (Core), 71.0%
Row 139: SUCCESS - GRD00139, STU039, English (Core), 79.0%
Row 140: SUCCESS - GRD00140, STU040, Science (Core), 82.0%
Row 141: SUCCESS - GRD00141, STU041, Geography (Core), 93.0%
Row 142: SUCCESS - GRD00142, STU042, Art (Elective), 80.0%
Row 143: SUCCESS - GRD00143, STU043, Drama (Elective), 79.0%
Row 144: SUCCESS - GRD00144, STU044, Computer Science (Elective), 94.0%
Row 145: SUCCESS - GRD00145, STU045, Robotics (Elective), 73.0%
Row 146: SUCCESS - GRD00146, STU046, Physical Education (Elective), 90.0%
Row 147: SUCCESS - GRD00147, STU047, Dance (Elective), 76.0%
Row 148: SUCCESS - GRD00148, STU048, Cooking (Elective), 78.0%
Row 149: SUCCESS - GRD00149, STU049, Photography (Elective), 64.0%
Row 150: SUCCESS - GRD00150, STU050, Debate (Elective), 77.0%
Row 151: SUCCESS - GRD00151, STU001, Music (Elective), 97.0%
Row 152: SUCCESS - GRD00152, STU002, History (Core), 68.0%
Row 153: SUCCESS - GRD00153, STU003, Mathematics (Core), 55.0%
Row 154: SUCCESS - GRD00154, STU004, English (Core), 45.0%
Row 155: SUCCESS - GRD00155, STU005, Science (Core), 67.0%
Row 156: SUCCESS - GRD00156, STU006, Geography (Core), 99.0%
Row 157: SUCCESS - GRD00157, STU007, Art (Elective), 55.0%
Row 158: SUCCESS - GRD00158, STU008, Drama (Elective), 55.0%
Row 159: SUCCESS - GRD00159, STU009, Computer Science (Elective), 60.0%
Row 160: SUCCESS - GRD00160, STU010, Robotics (Elective), 100.0%
Row 161: SUCCESS - GRD00161, STU011, Physical Education (Elective), 75.0%
Row 162: SUCCESS - GRD00162, STU012, Dance (Elective), 56.0%
Row 163: SUCCESS - GRD00163, STU013, Cooking (Elective), 100.0%
Row 164: SUCCESS - GRD00164, STU014, Photography (Elective), 66.0%
Row 165: SUCCESS - GRD00165, STU015, Debate (Elective), 83.0%
Row 166: SUCCESS - GRD00166, STU016, Music (Elective), 61.0%
Row 167: SUCCESS - GRD00167, STU017, History (Core), 56.0%
Row 168: SUCCESS - GRD00168, STU018, Mathematics (Core), 83.0%
Row 169: SUCCESS - GRD00169, STU019, English (Core), 79.0%
Row 170: SUCCESS - GRD00170, STU020, Science (Core), 80.0%
Row 171: SUCCESS - GRD00171, STU021, Geography (Core), 90.0%
Row 172: SUCCESS - GRD00172, STU022, Art (Elective), 83.0%
Row 173: SUCCESS - GRD00173, STU023, Drama (Elective), 70.0%
Row 174: SUCCESS - GRD00174, STU024, Computer Science (Elective), 99.0%
Row 175: SUCCESS - GRD00175, STU025, Robotics (Elective), 82.0%
Row 176: SUCCESS - GRD00176, STU026, Physical Education (Elective), 60.0%
Row 177: SUCCESS - GRD00177, STU027, Dance (Elective), 40.0%
Row 178: SUCCESS - GRD00178, STU028, Cooking (Elective), 85.0%
Row 179: SUCCESS - GRD00179, STU029, Photography (Elective), 70.0%
Row 180: SUCCESS - GRD00180, STU030, Debate (Elective), 56.0%
Row 181: SUCCESS - GRD00181, STU031, Music (Elective), 56.0%
Row 182: SUCCESS - GRD00182, STU032, History (Core), 87.0%
Row 183: SUCCESS - GRD00183, STU033, Mathematics (Core), 70.0%
Row 184: SUCCESS - GRD00184, STU034, English (Core), 89.0%
Row 185: SUCCESS - GRD00185, STU035, Science (Core), 70.0%
Row 186: SUCCESS - GRD00186, STU036, Geography (Core), 46.0%
Row 187: SUCCESS - GRD00187, STU037, Art (Elective), 40.0%
Row 188: SUCCESS - GRD00188, STU038, Drama (Elective), 68.0%
Row 189: SUCCESS - GRD00189, STU039, Computer Science (Elective), 41.0%
Row 190: SUCCESS - GRD00190, STU040, Robotics (Elective), 64.0%
Row 191: SUCCESS - GRD00191, STU041, Physical Education (Elective), 78.0%
Row 192: SUCCESS - GRD00192, STU042, Dance (Elective), 60.0%
Row 193: SUCCESS - GRD00193, STU043, Cooking (Elective), 93.0%
Row 194: SUCCESS - GRD00194, STU044, Photography (Elective), 41.0%
Row 195: SUCCESS - GRD00195, STU045, Debate (Elective), 66.0%
Row 196: SUCCESS - GRD00196, STU046, Music (Elective), 54.0%
Row 197: SUCCESS - GRD00197, STU047, History (Core), 77.0%
Row 198: SUCCESS - GRD00198, STU048, Mathematics (Core), 81.0%
Row 199: SUCCESS - GRD00199, STU049, English (Core), 87.0%
Row 200: SUCCESS - GRD00200, STU050, Science (Core), 56.0%
Row 201: SUCCESS - GRD00201, STU001, Geography (Core), 46.0%
Row 202: SUCCESS - GRD00202, STU002, Art (Elective), 73.0%
Row 203: SUCCESS - GRD00203, STU003, Drama (Elective), 95.0%
Row 204: SUCCESS - GRD00204, STU004, Computer Science (Elective), 53.0%
Row 205: SUCCESS - GRD00205, STU005, Robotics (Elective), 60.0%
Row 206: SUCCESS - GRD00206, STU006, Physical Education (Elective), 93.0%
Row 207: SUCCESS - GRD00207, STU007, Dance (Elective), 50.0%
Row 208: SUCCESS - GRD00208, STU008, Cooking (Elective), 50.0%
Row 209: SUCCESS - GRD00209, STU009, Photography (Elective), 93.0%
Row 210: SUCCESS - GRD00210, STU010, Debate (Elective), 42.0%
Row 211: SUCCESS - GRD00211, STU011, Music (Elective), 73.0%
Row 212: SUCCESS - GRD00212, STU012, History (Core), 67.0%
Row 213: SUCCESS - GRD00213, STU013, Mathematics (Core), 77.0%
Row 214: SUCCESS - GRD00214, STU014, English (Core), 45.0%
Row 215: SUCCESS - GRD00215, STU015, Science (Core), 62.0%
Row 216: SUCCESS - GRD00216, STU016, Geography (Core), 68.0%
Row 217: SUCCESS - GRD00217, STU017, Art (Elective), 89.0%
Row 218: SUCCESS - GRD00218, STU018, Drama (Elective), 44.0%
Row 219: SUCCESS - GRD00219, STU019, Computer Science (Elective), 85.0%
Row 220: SUCCESS - GRD00220, STU020, Robotics (Elective), 59.0%
Row 221: SUCCESS - GRD00221, STU021, Physical Education (Elective), 94.0%
Row 222: SUCCESS - GRD00222, STU022, Dance (Elective), 67.0%
Row 223: SUCCESS - GRD00223, STU023, Cooking (Elective), 74.0%
Row 224: SUCCESS - GRD00224, STU024, Photography (Elective), 78.0%
Row 225: SUCCESS - GRD00225, STU025, Debate (Elective), 68.0%
Row 226: SUCCESS - GRD00226, STU026, Music (Elective), 62.0%
Row 227: SUCCESS - GRD00227, STU027, History (Core), 43.0%
Row 228: SUCCESS - GRD00228, STU028, Mathematics (Core), 51.0%
Row 229: SUCCESS - GRD00229, STU029, English (Core), 47.0%
Row 230: SUCCESS - GRD00230, STU030, Science (Core), 61.0%
Row 231: SUCCESS - GRD00231, STU031, Geography (Core), 41.0%
Row 232: SUCCESS - GRD00232, STU032, Art (Elective), 61.0%
Row 233: SUCCESS - GRD00233, STU033, Drama (Elective), 93.0%
Row 234: SUCCESS - GRD00234, STU034, Computer Science (Elective), 45.0%
Row 235: SUCCESS - GRD00235, STU035, Robotics (Elective), 95.0%
Row 236: SUCCESS - GRD00236, STU036, Physical Education (Elective), 90.0%
Row 237: SUCCESS - GRD00237, STU037, Dance (Elective), 44.0%
Row 238: SUCCESS - GRD00238, STU038, Cooking (Elective), 53.0%
Row 239: SUCCESS - GRD00239, STU039, Photography (Elective), 47.0%
Row 240: SUCCESS - GRD00240, STU040, Debate (Elective), 54.0%
Row 241: SUCCESS - GRD00241, STU041, Music (Elective), 51.0%
Row 242: SUCCESS - GRD00242, STU042, History (Core), 100.0%
Row 243: SUCCESS - GRD00243, STU043, Mathematics (Core), 70.0%
Row 244: SUCCESS - GRD00244, STU044, English (Core), 53.0%
Row 245: SUCCESS - GRD00245, STU045, Science (Core), 69.0%
Row 246: SUCCESS - GRD00246, STU046, Geography (Core), 92.0%
Row 247: SUCCESS - GRD00247, STU047, Art (Elective), 53.0%
Row 248: SUCCESS - GRD00248, STU048, Drama (Elective), 100.0%
Row 249: SUCCESS - GRD00249, STU049, Computer Science (Elective), 99.0%
Row 250: SUCCESS - GRD00250, STU050, Robotics (Elective), 78.0%
Row 251: SUCCESS - GRD00251, STU001, Physical Education (Elective), 55.0%
Row 252: SUCCESS - GRD00252, STU002, Dance (Elective), 47.0%
Row 253: SUCCESS - GRD00253, STU003, Cooking (Elective), 49.0%
Row 254: SUCCESS - GRD00254, STU004, Photography (Elective), 56.0%
Row 255: SUCCESS - GRD00255, STU005, Debate (Elective), 83.0%
Row 256: SUCCESS - GRD00256, STU006, Music (Elective), 91.0%
Row 257: SUCCESS - GRD00257, STU007, History (Core), 64.0%
Row 258: SUCCESS - GRD00258, STU008, Mathematics (Core), 82.0%
Row 259: SUCCESS - GRD00259, STU009, English (Core), 44.0%
Row 260: SUCCESS - GRD00260, STU010, Science (Core), 43.0%
Row 261: SUCCESS - GRD00261, STU011, Geography (Core), 91.0%
Row 262: SUCCESS - GRD00262, STU012, Art (Elective), 96.0%
Row 263: SUCCESS - GRD00263, STU013, Drama (Elective), 57.0%
Row 264: SUCCESS - GRD00264, STU014, Computer Science (Elective), 53.0%
Row 265: SUCCESS - GRD00265, STU015, Robotics (Elective), 56.0%
Row 266: SUCCESS - GRD00266, STU016, Physical Education (Elective), 97.0%
Row 267: SUCCESS - GRD00267, STU017, Dance (Elective), 48.0%
Row 268: SUCCESS - GRD00268, STU018, Cooking (Elective), 69.0%
Row 269: SUCCESS - GRD00269, STU019, Photography (Elective), 52.0%
Row 270: SUCCESS - GRD00270, STU020, Debate (Elective), 49.0%
Row 271: SUCCESS - GRD00271, STU021, Music (Elective), 65.0%
Row 272: SUCCESS - GRD00272, STU022, History (Core), 60.0%
Row 273: SUCCESS - GRD00273, STU023, Mathematics (Core), 89.0%
Row 274: SUCCESS - GRD00274, STU024, English (Core), 73.0%
Row 275: SUCCESS - GRD00275, STU025, Science (Core), 63.0%
Row 276: SUCCESS - GRD00276, STU026, Geography (Core), 96.0%
Row 277: SUCCESS - GRD00277, STU027, Art (Elective), 81.0%
Row 278: SUCCESS - GRD00278, STU028, Drama (Elective), 45.0%
Row 279: SUCCESS - GRD00279, STU029, Computer Science (Elective), 62.0%
Row 280: SUCCESS - GRD00280, STU030, Robotics (Elective), 57.0%
Row 281: SUCCESS - GRD00281, STU031, Physical Education (Elective), 82.0%
Row 282: SUCCESS - GRD00282, STU032, Dance (Elective), 97.0%
Row 283: SUCCESS - GRD00283, STU033, Cooking (Elective), 85.0%
Row 284: SUCCESS - GRD00284, STU034, Photography (Elective), 53.0%
Row 285: SUCCESS - GRD00285, STU035, Debate (Elective), 56.0%
Row 286: SUCCESS - GRD00286, STU036, Music (Elective), 96.0%
Row 287: SUCCESS - GRD00287, STU037, History (Core), 55.0%
Row 288: SUCCESS - GRD00288, STU038, Mathematics (Core), 47.0%
Row 289: SUCCESS - GRD00289, STU039, English (Core), 88.0%
Row 290: SUCCESS - GRD00290, STU040, Science (Core), 72.0%
Row 291: SUCCESS - GRD00291, STU041, Geography (Core), 99.0%
Row 292: SUCCESS - GRD00292, STU042, Art (Elective), 80.0%
Row 293: SUCCESS - GRD00293, STU043, Drama (Elective), 97.0%
Row 294: SUCCESS - GRD00294, STU044, Computer Science (Elective), 73.0%
Row 295: SUCCESS - GRD00295, STU045, Robotics (Elective), 85.0%
Row 296: SUCCESS - GRD00296, STU046, Physical Education (Elective), 50.0%
Row 297: SUCCESS - GRD00297, STU047, Dance (Elective), 49.0%
Row 298: SUCCESS - GRD00298, STU048, Cooking (Elective), 81.0%
Row 299: SUCCESS - GRD00299, STU049, Photography (Elective), 56.0%
Row 300: SUCCESS - GRD00300, STU050, Debate (Elective), 50.0%
Row 301: SUCCESS - GRD00301, STU001, Music (Elective), 46.0%
Row 302: SUCCESS - GRD00302, STU002, History (Core), 93.0%
Row 303: SUCCESS - GRD00303, STU003, Mathematics (Core), 100.0%
Row 304: SUCCESS - GRD00304, STU004, English (Core), 97.0%
Row 305: SUCCESS - GRD00305, STU005, Science (Core), 97.0%
Row 306: SUCCESS - GRD00306, STU006, Geography (Core), 84.0%
Row 307: SUCCESS - GRD00307, STU007, Art (Elective), 45.0%
Row 308: SUCCESS - GRD00308, STU008, Drama (Elective), 62.0%
Row 309: SUCCESS - GRD00309, STU009, Computer Science (Elective), 66.0%
Row 310: SUCCESS - GRD00310, STU010, Robotics (Elective), 58.0%
Row 311: SUCCESS - GRD00311, STU011, Physical Education (Elective), 95.0%
Row 312: SUCCESS - GRD00312, STU012, Dance (Elective), 80.0%
Row 313: SUCCESS - GRD00313, STU013, Cooking (Elective), 51.0%
Row 314: SUCCESS - GRD00314, STU014, Photography (Elective), 47.0%
Row 315: SUCCESS - GRD00315, STU015, Debate (Elective), 42.0%
Row 316: SUCCESS - GRD00316, STU016, Music (Elective), 53.0%
Row 317: SUCCESS - GRD00317, STU017, History (Core), 77.0%
Row 318: SUCCESS - GRD00318, STU018, Mathematics (Core), 100.0%
Row 319: SUCCESS - GRD00319, STU019, English (Core), 50.0%
Row 320: SUCCESS - GRD00320, STU020, Science (Core), 78.0%
Row 321: SUCCESS - GRD00321, STU021, Geography (Core), 81.0%
Row 322: SUCCESS - GRD00322, STU022, Art (Elective), 59.0%
Row 323: SUCCESS - GRD00323, STU023, Drama (Elective), 97.0%
Row 324: SUCCESS - GRD00324, STU024, Computer Science (Elective), 45.0%
Row 325: SUCCESS - GRD00325, STU025, Robotics (Elective), 47.0%
Row 326: SUCCESS - GRD00326, STU026, Physical Education (Elective), 81.0%
Row 327: SUCCESS - GRD00327, STU027, Dance (Elective), 79.0%
Row 328: SUCCESS - GRD00328, STU028, Cooking (Elective), 70.0%
Row 329: SUCCESS - GRD00329, STU029, Photography (Elective), 47.0%
Row 330: SUCCESS - GRD00330, STU030, Debate (Elective), 80.0%
Row 331: SUCCESS - GRD00331, STU031, Music (Elective), 59.0%
Row 332: SUCCESS - GRD00332, STU032, History (Core), 48.0%
Row 333: SUCCESS - GRD00333, STU033, Mathematics (Core), 53.0%
Row 334: SUCCESS - GRD00334, STU034, English (Core), 88.0%
Row 335: SUCCESS - GRD00335, STU035, Science (Core), 60.0%
Row 336: SUCCESS - GRD00336, STU036, Geography (Core), 93.0%
Row 337: SUCCESS - GRD00337, STU037, Art (Elective), 84.0%
Row 338: SUCCESS - GRD00338, STU038, Drama (Elective), 95.0%
Row 339: SUCCESS - GRD00339, STU039, Computer Science (Elective), 50.0%
Row 340: SUCCESS - GRD00340, STU040, Robotics (Elective), 43.0%
Row 341: SUCCESS - GRD00341, STU041, Physical Education (Elective), 91.0%
Row 342: SUCCESS - GRD00342, STU042, Dance (Elective), 56.0%
Row 343: SUCCESS - GRD00343, STU043, Cooking (Elective), 45.0%
Row 344: SUCCESS - GRD00344, STU044, Photography (Elective), 46.0%
Row 345: SUCCESS - GRD00345, STU045, Debate (Elective), 51.0%
Row 346: SUCCESS - GRD00346, STU046, Music (Elective), 68.0%
Row 347: SUCCESS - GRD00347, STU047, History (Core), 48.0%
Row 348: SUCCESS - GRD00348, STU048, Mathematics (Core), 75.0%
Row 349: SUCCESS - GRD00349, STU049, English (Core), 84.0%
Row 350: SUCCESS - GRD00350, STU050, Science (Core), 70.0%
Row 351: SUCCESS - GRD00351, STU001, Geography (Core), 51.0%
Row 352: SUCCESS - GRD00352, STU002, Art (Elective), 100.0%
Row 353: SUCCESS - GRD00353, STU003, Drama (Elective), 92.0%
Row 354: SUCCESS - GRD00354, STU004, Computer Science (Elective), 53.0%
Row 355: SUCCESS - GRD00355, STU005, Robotics (Elective), 53.0%
Row 356: SUCCESS - GRD00356, STU006, Physical Education (Elective), 77.0%
Row 357: SUCCESS - GRD00357, STU007, Dance (Elective), 97.0%
Row 358: SUCCESS - GRD00358, STU008, Cooking (Elective), 54.0%
Row 359: SUCCESS - GRD00359, STU009, Photography (Elective), 45.0%
Row 360: SUCCESS - GRD00360, STU010, Debate (Elective), 85.0%
Row 361: SUCCESS - GRD00361, STU011, Music (Elective), 51.0%
Row 362: SUCCESS - GRD00362, STU012, History (Core), 94.0%
Row 363: SUCCESS - GRD00363, STU013, Mathematics (Core), 77.0%
Row 364: SUCCESS - GRD00364, STU014, English (Core), 60.0%
Row 365: SUCCESS - GRD00365, STU015, Science (Core), 92.0%
Row 366: SUCCESS - GRD00366, STU016, Geography (Core), 74.0%
Row 367: SUCCESS - GRD00367, STU017, Art (Elective), 68.0%
Row 368: SUCCESS - GRD00368, STU018, Drama (Elective), 99.0%
Row 369: SUCCESS - GRD00369, STU019, Computer Science (Elective), 53.0%
Row 370: SUCCESS - GRD00370, STU020, Robotics (Elective), 53.0%
Row 371: SUCCESS - GRD00371, STU021, Physical Education (Elective), 61.0%
Row 372: SUCCESS - GRD00372, STU022, Dance (Elective), 79.0%
Row 373: SUCCESS - GRD00373, STU023, Cooking (Elective), 70.0%
Row 374: SUCCESS - GRD00374, STU024, Photography (Elective), 85.0%
Row 375: SUCCESS - GRD00375, STU025, Debate (Elective), 66.0%
Row 376: SUCCESS - GRD00376, STU026, Music (Elective), 95.0%
Row 377: SUCCESS - GRD00377, STU027, History (Core), 69.0%
Row 378: SUCCESS - GRD00378, STU028, Mathematics (Core), 98.0%
Row 379: SUCCESS - GRD00379, STU029, English (Core), 62.0%
Row 380: SUCCESS - GRD00380, STU030, Science (Core), 46.0%
Row 381: SUCCESS - GRD00381, STU031, Geography (Core), 45.0%
Row 382: SUCCESS - GRD00382, STU032, Art (Elective), 69.0%
Row 383: SUCCESS - GRD00383, STU033, Drama (Elective), 70.0%
Row 384: SUCCESS - GRD00384, STU034, Computer Science (Elective), 96.0%
