GradeRecordID,StudentID,SubjectName,SubjectType,Grade
GRD00068,STU018,Drama,Elective,61
GRD00069,STU019,Computer Science,Elective,46
GRD00070,STU020,Robotics,Elective,68
GRD00071,STU021,Physical Education,Elective,58
GRD00072,STU022,Dance,Elective,85
GRD00073,STU023,Cooking,Elective,96
GRD00074,STU024,Photography,Elective,81
GRD00075,STU025,Debate,Elective,81
GRD00076,STU026,Music,Elective,96
GRD00077,STU027,History,Core,79
GRD00078,STU028,Mathematics,Core,95
GRD00079,STU029,English,Core,40
GRD00080,STU030,Science,Core,67
GRD00081,STU031,Geography,Core,95
GRD00082,STU032,Art,Elective,48
GRD00083,STU033,Drama,Elective,53
GRD00084,STU034,Computer Science,Elective,84
GRD00085,STU035,Robotics,Elective,40
GRD00086,STU036,Physical Education,Elective,77
GRD00087,STU037,Dance,Elective,60
GRD00088,STU038,Cooking,Elective,59
GRD00089,STU039,Photography,Elective,51
GRD00090,STU040,Debate,Elective,59
GRD00091,STU041,Music,Elective,43
GRD00092,STU042,History,Core,61
GRD00093,STU043,Mathematics,Core,97
GRD00094,STU044,English,Core,54
GRD00095,STU045,Science,Core,83
GRD00096,STU046,Geography,Core,46
GRD00097,STU047,Art,Elective,68
GRD00098,STU048,Drama,Elective,92
GRD00099,STU049,Computer Science,Elective,45
GRD00100,STU050,Robotics,Elective,64
GRD00101,STU001,Physical Education,Elective,57
GRD00102,STU002,Dance,Elective,75
GRD00103,STU003,Cooking,Elective,55
GRD00104,STU004,Photography,Elective,40
GRD00105,STU005,Debate,Elective,70
GRD00106,STU006,Music,Elective,49
GRD00107,STU007,History,Core,47
GRD00108,STU008,Mathematics,Core,87
GRD00109,STU009,English,Core,77
GRD00110,STU010,Science,Core,99
GRD00111,STU011,Geography,Core,70
GRD00112,STU012,Art,Elective,53
GRD00113,STU013,Drama,Elective,57
GRD00114,STU014,Computer Science,Elective,65
GRD00115,STU015,Robotics,Elective,94
GRD00116,STU016,Physical Education,Elective,66
GRD00117,STU017,Dance,Elective,44
GRD00118,STU018,Cooking,Elective,78
GRD00119,STU019,Photography,Elective,98
GRD00120,STU020,Debate,Elective,68
GRD00121,STU021,Music,Elective,59
GRD00122,STU022,History,Core,67
GRD00123,STU023,Mathematics,Core,68
GRD00124,STU024,English,Core,72
GRD00125,STU025,Science,Core,89
GRD00126,STU026,Geography,Core,75
GRD00127,STU027,Art,Elective,99
GRD00128,STU028,Drama,Elective,89
GRD00129,STU029,Computer Science,Elective,98
GRD00130,STU030,Robotics,Elective,44
GRD00131,STU031,Physical Education,Elective,96
GRD00132,STU032,Dance,Elective,62
GRD00133,STU033,Cooking,Elective,56
GRD00134,STU034,Photography,Elective,45
GRD00135,STU035,Debate,Elective,100
GRD00136,STU036,Music,Elective,41
GRD00137,STU037,History,Core,89
GRD00138,STU038,Mathematics,Core,71
GRD00139,STU039,English,Core,79
GRD00140,STU040,Science,Core,82
GRD00141,STU041,Geography,Core,93
GRD00142,STU042,Art,Elective,80
GRD00143,STU043,Drama,Elective,79
GRD00144,STU044,Computer Science,Elective,94
GRD00145,STU045,Robotics,Elective,73
GRD00146,STU046,Physical Education,Elective,90
GRD00147,STU047,Dance,Elective,76
GRD00148,STU048,Cooking,Elective,78
GRD00149,STU049,Photography,Elective,64
GRD00150,STU050,Debate,Elective,77
GRD00151,STU001,Music,Elective,97
GRD00152,STU002,History,Core,68
GRD00153,STU003,Mathematics,Core,55
GRD00154,STU004,English,Core,45
GRD00155,STU005,Science,Core,67
GRD00156,STU006,Geography,Core,99
GRD00157,STU007,Art,Elective,55
GRD00158,STU008,Drama,Elective,55
GRD00159,STU009,Computer Science,Elective,60
GRD00160,STU010,Robotics,Elective,100
GRD00161,STU011,Physical Education,Elective,75
GRD00162,STU012,Dance,Elective,56
GRD00163,STU013,Cooking,Elective,100
GRD00164,STU014,Photography,Elective,66
GRD00165,STU015,Debate,Elective,83
GRD00166,STU016,Music,Elective,61
GRD00167,STU017,History,Core,56
GRD00168,STU018,Mathematics,Core,83
GRD00169,STU019,English,Core,79
GRD00170,STU020,Science,Core,80
GRD00171,STU021,Geography,Core,90
GRD00172,STU022,Art,Elective,83
GRD00173,STU023,Drama,Elective,70
GRD00174,STU024,Computer Science,Elective,99
GRD00175,STU025,Robotics,Elective,82
GRD00176,STU026,Physical Education,Elective,60
GRD00177,STU027,Dance,Elective,40
GRD00178,STU028,Cooking,Elective,85
GRD00179,STU029,Photography,Elective,70
GRD00180,STU030,Debate,Elective,56
GRD00181,STU031,Music,Elective,56
GRD00182,STU032,History,Core,87
GRD00183,STU033,Mathematics,Core,70
GRD00184,STU034,English,Core,89
GRD00185,STU035,Science,Core,70
GRD00186,STU036,Geography,Core,46
GRD00187,STU037,Art,Elective,40
GRD00188,STU038,Drama,Elective,68
GRD00189,STU039,Computer Science,Elective,41
GRD00190,STU040,Robotics,Elective,64
GRD00191,STU041,Physical Education,Elective,78
GRD00192,STU042,Dance,Elective,60
GRD00193,STU043,Cooking,Elective,93
GRD00194,STU044,Photography,Elective,41
GRD00195,STU045,Debate,Elective,66
GRD00196,STU046,Music,Elective,54
GRD00197,STU047,History,Core,77
GRD00198,STU048,Mathematics,Core,81
GRD00199,STU049,English,Core,87
GRD00200,STU050,Science,Core,56
GRD00201,STU001,Geography,Core,46
GRD00202,STU002,Art,Elective,73
GRD00203,STU003,Drama,Elective,95
GRD00204,STU004,Computer Science,Elective,53
GRD00205,STU005,Robotics,Elective,60
GRD00206,STU006,Physical Education,Elective,93
GRD00207,STU007,Dance,Elective,50
GRD00208,STU008,Cooking,Elective,50
GRD00209,STU009,Photography,Elective,93
GRD00210,STU010,Debate,Elective,42
GRD00211,STU011,Music,Elective,73
GRD00212,STU012,History,Core,67
GRD00213,STU013,Mathematics,Core,77
GRD00214,STU014,English,Core,45
GRD00215,STU015,Science,Core,62
GRD00216,STU016,Geography,Core,68
GRD00217,STU017,Art,Elective,89
GRD00218,STU018,Drama,Elective,44
GRD00219,STU019,Computer Science,Elective,85
GRD00220,STU020,Robotics,Elective,59
GRD00221,STU021,Physical Education,Elective,94
GRD00222,STU022,Dance,Elective,67
GRD00223,STU023,Cooking,Elective,74
GRD00224,STU024,Photography,Elective,78
GRD00225,STU025,Debate,Elective,68
GRD00226,STU026,Music,Elective,62
GRD00227,STU027,History,Core,43
GRD00228,STU028,Mathematics,Core,51
GRD00229,STU029,English,Core,47
GRD00230,STU030,Science,Core,61
GRD00231,STU031,Geography,Core,41
GRD00232,STU032,Art,Elective,61
GRD00233,STU033,Drama,Elective,93
GRD00234,STU034,Computer Science,Elective,45
GRD00235,STU035,Robotics,Elective,95
GRD00236,STU036,Physical Education,Elective,90
GRD00237,STU037,Dance,Elective,44
GRD00238,STU038,Cooking,Elective,53
GRD00239,STU039,Photography,Elective,47
GRD00240,STU040,Debate,Elective,54
GRD00241,STU041,Music,Elective,51
GRD00242,STU042,History,Core,100
GRD00243,STU043,Mathematics,Core,70
GRD00244,STU044,English,Core,53
GRD00245,STU045,Science,Core,69
GRD00246,STU046,Geography,Core,92
GRD00247,STU047,Art,Elective,53
GRD00248,STU048,Drama,Elective,100
GRD00249,STU049,Computer Science,Elective,99
GRD00250,STU050,Robotics,Elective,78
GRD00251,STU001,Physical Education,Elective,55
GRD00252,STU002,Dance,Elective,47
GRD00253,STU003,Cooking,Elective,49
GRD00254,STU004,Photography,Elective,56
GRD00255,STU005,Debate,Elective,83
GRD00256,STU006,Music,Elective,91
GRD00257,STU007,History,Core,64
GRD00258,STU008,Mathematics,Core,82
GRD00259,STU009,English,Core,44
GRD00260,STU010,Science,Core,43
GRD00261,STU011,Geography,Core,91
GRD00262,STU012,Art,Elective,96
GRD00263,STU013,Drama,Elective,57
GRD00264,STU014,Computer Science,Elective,53
GRD00265,STU015,Robotics,Elective,56
GRD00266,STU016,Physical Education,Elective,97
GRD00267,STU017,Dance,Elective,48
GRD00268,STU018,Cooking,Elective,69
GRD00269,STU019,Photography,Elective,52
GRD00270,STU020,Debate,Elective,49
GRD00271,STU021,Music,Elective,65
GRD00272,STU022,History,Core,60
GRD00273,STU023,Mathematics,Core,89
GRD00274,STU024,English,Core,73
GRD00275,STU025,Science,Core,63
GRD00276,STU026,Geography,Core,96
GRD00277,STU027,Art,Elective,81
GRD00278,STU028,Drama,Elective,45
GRD00279,STU029,Computer Science,Elective,62
GRD00280,STU030,Robotics,Elective,57
GRD00281,STU031,Physical Education,Elective,82
GRD00282,STU032,Dance,Elective,97
GRD00283,STU033,Cooking,Elective,85
GRD00284,STU034,Photography,Elective,53
GRD00285,STU035,Debate,Elective,56
GRD00286,STU036,Music,Elective,96
GRD00287,STU037,History,Core,55
GRD00288,STU038,Mathematics,Core,47
GRD00289,STU039,English,Core,88
GRD00290,STU040,Science,Core,72
GRD00291,STU041,Geography,Core,99
GRD00292,STU042,Art,Elective,80
GRD00293,STU043,Drama,Elective,97
GRD00294,STU044,Computer Science,Elective,73
GRD00295,STU045,Robotics,Elective,85
GRD00296,STU046,Physical Education,Elective,50
GRD00297,STU047,Dance,Elective,49
GRD00298,STU048,Cooking,Elective,81
GRD00299,STU049,Photography,Elective,56
GRD00300,STU050,Debate,Elective,50
GRD00301,STU001,Music,Elective,46
GRD00302,STU002,History,Core,93
GRD00303,STU003,Mathematics,Core,100
GRD00304,STU004,English,Core,97
GRD00305,STU005,Science,Core,97
GRD00306,STU006,Geography,Core,84
GRD00307,STU007,Art,Elective,45
GRD00308,STU008,Drama,Elective,62
GRD00309,STU009,Computer Science,Elective,66
GRD00310,STU010,Robotics,Elective,58
GRD00311,STU011,Physical Education,Elective,95
GRD00312,STU012,Dance,Elective,80
GRD00313,STU013,Cooking,Elective,51
GRD00314,STU014,Photography,Elective,47
GRD00315,STU015,Debate,Elective,42
GRD00316,STU016,Music,Elective,53
GRD00317,STU017,History,Core,77
GRD00318,STU018,Mathematics,Core,100
GRD00319,STU019,English,Core,50
GRD00320,STU020,Science,Core,78
GRD00321,STU021,Geography,Core,81
GRD00322,STU022,Art,Elective,59
GRD00323,STU023,Drama,Elective,97
GRD00324,STU024,Computer Science,Elective,45
GRD00325,STU025,Robotics,Elective,47
GRD00326,STU026,Physical Education,Elective,81
GRD00327,STU027,Dance,Elective,79
GRD00328,STU028,Cooking,Elective,70
GRD00329,STU029,Photography,Elective,47
GRD00330,STU030,Debate,Elective,80
GRD00331,STU031,Music,Elective,59
GRD00332,STU032,History,Core,48
GRD00333,STU033,Mathematics,Core,53
GRD00334,STU034,English,Core,88
GRD00335,STU035,Science,Core,60
GRD00336,STU036,Geography,Core,93
GRD00337,STU037,Art,Elective,84
GRD00338,STU038,Drama,Elective,95
GRD00339,STU039,Computer Science,Elective,50
GRD00340,STU040,Robotics,Elective,43
GRD00341,STU041,Physical Education,Elective,91
GRD00342,STU042,Dance,Elective,56
GRD00343,STU043,Cooking,Elective,45
GRD00344,STU044,Photography,Elective,46
GRD00345,STU045,Debate,Elective,51
GRD00346,STU046,Music,Elective,68
GRD00347,STU047,History,Core,48
GRD00348,STU048,Mathematics,Core,75
GRD00349,STU049,English,Core,84
GRD00350,STU050,Science,Core,70
GRD00351,STU001,Geography,Core,51
GRD00352,STU002,Art,Elective,100
GRD00353,STU003,Drama,Elective,92
GRD00354,STU004,Computer Science,Elective,53
GRD00355,STU005,Robotics,Elective,53
GRD00356,STU006,Physical Education,Elective,77
GRD00357,STU007,Dance,Elective,97
GRD00358,STU008,Cooking,Elective,54
GRD00359,STU009,Photography,Elective,45
GRD00360,STU010,Debate,Elective,85
GRD00361,STU011,Music,Elective,51
GRD00362,STU012,History,Core,94
GRD00363,STU013,Mathematics,Core,77
GRD00364,STU014,English,Core,60
GRD00365,STU015,Science,Core,92
GRD00366,STU016,Geography,Core,74
GRD00367,STU017,Art,Elective,68
GRD00368,STU018,Drama,Elective,99
GRD00369,STU019,Computer Science,Elective,53
GRD00370,STU020,Robotics,Elective,53
GRD00371,STU021,Physical Education,Elective,61
GRD00372,STU022,Dance,Elective,79
GRD00373,STU023,Cooking,Elective,70
GRD00374,STU024,Photography,Elective,85
GRD00375,STU025,Debate,Elective,66
GRD00376,STU026,Music,Elective,95
GRD00377,STU027,History,Core,69
GRD00378,STU028,Mathematics,Core,98
GRD00379,STU029,English,Core,62
GRD00380,STU030,Science,Core,46
GRD00381,STU031,Geography,Core,45
GRD00382,STU032,Art,Elective,69
GRD00383,STU033,Drama,Elective,70
GRD00384,STU034,Computer Science,Elective,96
GRD00385,STU035,Robotics,Elective,54
GRD00386,STU036,Physical Education,Elective,94
GRD00387,STU037,Dance,Elective,68
GRD00388,STU038,Cooking,Elective,54
GRD00389,STU039,Photography,Elective,59
GRD00390,STU040,Debate,Elective,81
GRD00391,STU041,Music,Elective,79
GRD00392,STU042,History,Core,90
GRD00393,STU043,Mathematics,Core,95
GRD00394,STU044,English,Core,43
GRD00395,STU045,Science,Core,100
GRD00396,STU046,Geography,Core,88
GRD00397,STU047,Art,Elective,88
GRD00398,STU048,Drama,Elective,75
GRD00399,STU049,Computer Science,Elective,69
GRD00400,STU050,Robotics,Elective,77
GRD00401,STU001,Physical Education,Elective,100
GRD00402,STU002,Dance,Elective,57
GRD00403,STU003,Cooking,Elective,52
GRD00404,STU004,Photography,Elective,95
GRD00405,STU005,Debate,Elective,58
GRD00406,STU006,Music,Elective,70
GRD00407,STU007,History,Core,82
GRD00408,STU008,Mathematics,Core,98
GRD00409,STU009,English,Core,97
GRD00410,STU010,Science,Core,62
GRD00411,STU011,Geography,Core,67
GRD00412,STU012,Art,Elective,74
GRD00413,STU013,Drama,Elective,48
GRD00414,STU014,Computer Science,Elective,43
GRD00415,STU015,Robotics,Elective,89
GRD00416,STU016,Physical Education,Elective,86
GRD00417,STU017,Dance,Elective,60
GRD00418,STU018,Cooking,Elective,83
GRD00419,STU019,Photography,Elective,80
GRD00420,STU020,Debate,Elective,50
GRD00421,STU021,Music,Elective,79
GRD00422,STU022,History,Core,69
GRD00423,STU023,Mathematics,Core,89
GRD00424,STU024,English,Core,91
GRD00425,STU025,Science,Core,100
GRD00426,STU026,Geography,Core,98
GRD00427,STU027,Art,Elective,68
GRD00428,STU028,Drama,Elective,62
GRD00429,STU029,Computer Science,Elective,86
GRD00430,STU030,Robotics,Elective,73
GRD00431,STU031,Physical Education,Elective,70
GRD00432,STU032,Dance,Elective,67
GRD00433,STU033,Cooking,Elective,91
GRD00434,STU034,Photography,Elective,63
GRD00435,STU035,Debate,Elective,48
GRD00436,STU036,Music,Elective,65
GRD00437,STU037,History,Core,81
GRD00438,STU038,Mathematics,Core,52
GRD00439,STU039,English,Core,87
GRD00440,STU040,Science,Core,100
GRD00441,STU041,Geography,Core,83
GRD00442,STU042,Art,Elective,66
GRD00443,STU043,Drama,Elective,70
GRD00444,STU044,Computer Science,Elective,87
GRD00445,STU045,Robotics,Elective,81
GRD00446,STU046,Physical Education,Elective,80
GRD00447,STU047,Dance,Elective,88
GRD00448,STU048,Cooking,Elective,45
GRD00449,STU049,Photography,Elective,100
GRD00450,STU050,Debate,Elective,75
GRD00451,STU001,Music,Elective,60
GRD00452,STU002,History,Core,89
GRD00453,STU003,Mathematics,Core,70
GRD00454,STU004,English,Core,72
GRD00455,STU005,Science,Core,81
GRD00456,STU006,Geography,Core,94
GRD00457,STU007,Art,Elective,86
GRD00458,STU008,Drama,Elective,89
GRD00459,STU009,Computer Science,Elective,91
GRD00460,STU010,Robotics,Elective,49
GRD00461,STU011,Physical Education,Elective,95
GRD00462,STU012,Dance,Elective,58
GRD00463,STU013,Cooking,Elective,89
GRD00464,STU014,Photography,Elective,51
GRD00465,STU015,Debate,Elective,96
GRD00466,STU016,Music,Elective,76
GRD00467,STU017,History,Core,70
GRD00468,STU018,Mathematics,Core,70
GRD00469,STU019,English,Core,89
GRD00470,STU020,Science,Core,78
GRD00471,STU021,Geography,Core,45
GRD00472,STU022,Art,Elective,71
GRD00473,STU023,Drama,Elective,53
GRD00474,STU024,Computer Science,Elective,74
GRD00475,STU025,Robotics,Elective,86
GRD00476,STU026,Physical Education,Elective,44
GRD00477,STU027,Dance,Elective,98
GRD00478,STU028,Cooking,Elective,82
GRD00479,STU029,Photography,Elective,58
GRD00480,STU030,Debate,Elective,98
GRD00481,STU031,Music,Elective,63
GRD00482,STU032,History,Core,45
GRD00483,STU033,Mathematics,Core,77
GRD00484,STU034,English,Core,54
GRD00485,STU035,Science,Core,61
GRD00486,STU036,Geography,Core,100
GRD00487,STU037,Art,Elective,79
GRD00488,STU038,Drama,Elective,48
GRD00489,STU039,Computer Science,Elective,67
GRD00490,STU040,Robotics,Elective,64
GRD00491,STU041,Physical Education,Elective,66
GRD00492,STU042,Dance,Elective,54
GRD00493,STU043,Cooking,Elective,58
GRD00494,STU044,Photography,Elective,76
GRD00495,STU045,Debate,Elective,80
GRD00496,STU046,Music,Elective,52
GRD00497,STU047,History,Core,91
GRD00498,STU048,Mathematics,Core,90
GRD00499,STU049,English,Core,90
GRD00500,STU050,Science,Core,69
GRD00501,STU001,Geography,Core,69
GRD00502,STU002,Art,Elective,46
GRD00503,STU003,Drama,Elective,88
GRD00504,STU004,Computer Science,Elective,90
GRD00505,STU005,Robotics,Elective,48
GRD00506,STU006,Physical Education,Elective,96
GRD00507,STU007,Dance,Elective,89
GRD00508,STU008,Cooking,Elective,99
GRD00509,STU009,Photography,Elective,96
GRD00510,STU010,Debate,Elective,61
GRD00511,STU011,Music,Elective,88
GRD00512,STU012,History,Core,65
GRD00513,STU013,Mathematics,Core,69
GRD00514,STU014,English,Core,100
GRD00515,STU015,Science,Core,47
GRD00516,STU016,Geography,Core,57
GRD00517,STU017,Art,Elective,94
GRD00518,STU018,Drama,Elective,66
GRD00519,STU019,Computer Science,Elective,82
GRD00520,STU020,Robotics,Elective,98
GRD00521,STU021,Physical Education,Elective,78
GRD00522,STU022,Dance,Elective,43
GRD00523,STU023,Cooking,Elective,51
GRD00524,STU024,Photography,Elective,72
GRD00525,STU025,Debate,Elective,64
GRD00526,STU026,Music,Elective,58
GRD00527,STU027,History,Core,88
GRD00528,STU028,Mathematics,Core,56
GRD00529,STU029,English,Core,86
GRD00530,STU030,Science,Core,59
GRD00531,STU031,Geography,Core,55
GRD00532,STU032,Art,Elective,49
GRD00533,STU033,Drama,Elective,54
GRD00534,STU034,Computer Science,Elective,91
GRD00535,STU035,Robotics,Elective,88
GRD00536,STU036,Physical Education,Elective,79
GRD00537,STU037,Dance,Elective,97
GRD00538,STU038,Cooking,Elective,91
GRD00539,STU039,Photography,Elective,89
GRD00540,STU040,Debate,Elective,95
GRD00541,STU041,Music,Elective,55
GRD00542,STU042,History,Core,46
GRD00543,STU043,Mathematics,Core,57
GRD00544,STU044,English,Core,49
GRD00545,STU045,Science,Core,94
GRD00546,STU046,Geography,Core,77
GRD00547,STU047,Art,Elective,84
GRD00548,STU048,Drama,Elective,78
GRD00549,STU049,Computer Science,Elective,57
GRD00550,STU050,Robotics,Elective,51
GRD00551,STU001,Physical Education,Elective,78
GRD00552,STU002,Dance,Elective,51
GRD00553,STU003,Cooking,Elective,42
GRD00554,STU004,Photography,Elective,48
GRD00555,STU005,Debate,Elective,82
GRD00556,STU006,Music,Elective,52
GRD00557,STU007,History,Core,52
GRD00558,STU008,Mathematics,Core,42
GRD00559,STU009,English,Core,99
GRD00560,STU010,Science,Core,50
GRD00561,STU011,Geography,Core,85
GRD00562,STU012,Art,Elective,57
GRD00563,STU013,Drama,Elective,42
GRD00564,STU014,Computer Science,Elective,100
GRD00565,STU015,Robotics,Elective,75
GRD00566,STU016,Physical Education,Elective,92
GRD00567,STU017,Dance,Elective,48
GRD00568,STU018,Cooking,Elective,65
GRD00569,STU019,Photography,Elective,75
GRD00570,STU020,Debate,Elective,56
GRD00571,STU021,Music,Elective,91
GRD00572,STU022,History,Core,49
GRD00573,STU023,Mathematics,Core,48
GRD00574,STU024,English,Core,73
GRD00575,STU025,Science,Core,66
GRD00576,STU026,Geography,Core,88
GRD00577,STU027,Art,Elective,43
GRD00578,STU028,Drama,Elective,71
GRD00579,STU029,Computer Science,Elective,78
GRD00580,STU030,Robotics,Elective,94
GRD00581,STU031,Physical Education,Elective,84
GRD00582,STU032,Dance,Elective,99
GRD00583,STU033,Cooking,Elective,42
GRD00584,STU034,Photography,Elective,56
GRD00585,STU035,Debate,Elective,57
GRD00586,STU036,Music,Elective,61
GRD00587,STU037,History,Core,73
GRD00588,STU038,Mathematics,Core,68
GRD00589,STU039,English,Core,74
GRD00590,STU040,Science,Core,57
GRD00591,STU041,Geography,Core,46
GRD00592,STU042,Art,Elective,53
GRD00593,STU043,Drama,Elective,90
GRD00594,STU044,Computer Science,Elective,47
GRD00595,STU045,Robotics,Elective,52
GRD00596,STU046,Physical Education,Elective,45
GRD00597,STU047,Dance,Elective,92
GRD00598,STU048,Cooking,Elective,43
GRD00599,STU049,Photography,Elective,82
GRD00600,STU050,Debate,Elective,56
GRD00601,STU001,Music,Elective,93
GRD00602,STU002,History,Core,61
GRD00603,STU003,Mathematics,Core,98
GRD00604,STU004,English,Core,47
GRD00605,STU005,Science,Core,51
GRD00606,STU006,Geography,Core,55
GRD00607,STU007,Art,Elective,87
GRD00608,STU008,Drama,Elective,93
GRD00609,STU009,Computer Science,Elective,88
GRD00610,STU010,Robotics,Elective,47
GRD00611,STU011,Physical Education,Elective,97
GRD00612,STU012,Dance,Elective,61
GRD00613,STU013,Cooking,Elective,64
GRD00614,STU014,Photography,Elective,41
GRD00615,STU015,Debate,Elective,51
GRD00616,STU016,Music,Elective,86
GRD00617,STU017,History,Core,50
GRD00618,STU018,Mathematics,Core,74
GRD00619,STU019,English,Core,41
GRD00620,STU020,Science,Core,84
GRD00621,STU021,Geography,Core,47
GRD00622,STU022,Art,Elective,79
GRD00623,STU023,Drama,Elective,57
GRD00624,STU024,Computer Science,Elective,96
GRD00625,STU025,Robotics,Elective,77
GRD00626,STU026,Physical Education,Elective,48
GRD00627,STU027,Dance,Elective,89
GRD00628,STU028,Cooking,Elective,70
GRD00629,STU029,Photography,Elective,92
GRD00630,STU030,Debate,Elective,48
GRD00631,STU031,Music,Elective,78
GRD00632,STU032,History,Core,53
GRD00633,STU033,Mathematics,Core,81
GRD00634,STU034,English,Core,91
GRD00635,STU035,Science,Core,81
GRD00636,STU036,Geography,Core,45
GRD00637,STU037,Art,Elective,76
GRD00638,STU038,Drama,Elective,92
GRD00639,STU039,Computer Science,Elective,92
GRD00640,STU040,Robotics,Elective,82
GRD00641,STU041,Physical Education,Elective,93
GRD00642,STU042,Dance,Elective,81
GRD00643,STU043,Cooking,Elective,43
GRD00644,STU044,Photography,Elective,85
GRD00645,STU045,Debate,Elective,42
GRD00646,STU046,Music,Elective,77
GRD00647,STU047,History,Core,90
GRD00648,STU048,Mathematics,Core,75
GRD00649,STU049,English,Core,51
GRD00650,STU050,Science,Core,64
GRD00651,STU001,Geography,Core,91
GRD00652,STU002,Art,Elective,68
GRD00653,STU003,Drama,Elective,88
GRD00654,STU004,Computer Science,Elective,75
GRD00655,STU005,Robotics,Elective,62
GRD00656,STU006,Physical Education,Elective,48
GRD00657,STU007,Dance,Elective,45
GRD00658,STU008,Cooking,Elective,56
GRD00659,STU009,Photography,Elective,56
GRD00660,STU010,Debate,Elective,44
GRD00661,STU011,Music,Elective,46
GRD00662,STU012,History,Core,40
GRD00663,STU013,Mathematics,Core,41
GRD00664,STU014,English,Core,81
GRD00665,STU015,Science,Core,42
GRD00666,STU016,Geography,Core,99
GRD00667,STU017,Art,Elective,51
GRD00668,STU018,Drama,Elective,47
GRD00669,STU019,Computer Science,Elective,57
GRD00670,STU020,Robotics,Elective,63
GRD00671,STU021,Physical Education,Elective,76
GRD00672,STU022,Dance,Elective,99
GRD00673,STU023,Cooking,Elective,64
GRD00674,STU024,Photography,Elective,49
GRD00675,STU025,Debate,Elective,81
GRD00676,STU026,Music,Elective,86
GRD00677,STU027,History,Core,94
GRD00678,STU028,Mathematics,Core,49
GRD00679,STU029,English,Core,99
GRD00680,STU030,Science,Core,79
GRD00681,STU031,Geography,Core,41
GRD00682,STU032,Art,Elective,78
GRD00683,STU033,Drama,Elective,88
GRD00684,STU034,Computer Science,Elective,78
GRD00685,STU035,Robotics,Elective,93
GRD00686,STU036,Physical Education,Elective,59
GRD00687,STU037,Dance,Elective,71
GRD00688,STU038,Cooking,Elective,69
GRD00689,STU039,Photography,Elective,52
GRD00690,STU040,Debate,Elective,74
GRD00691,STU041,Music,Elective,47
GRD00692,STU042,History,Core,76
GRD00693,STU043,Mathematics,Core,52
GRD00694,STU044,English,Core,96
GRD00695,STU045,Science,Core,54
GRD00696,STU046,Geography,Core,60
GRD00697,STU047,Art,Elective,91
GRD00698,STU048,Drama,Elective,42
GRD00699,STU049,Computer Science,Elective,51
GRD00700,STU050,Robotics,Elective,83
GRD00701,STU001,Physical Education,Elective,67
GRD00702,STU002,Dance,Elective,53
GRD00703,STU003,Cooking,Elective,42
GRD00704,STU004,Photography,Elective,95
GRD00705,STU005,Debate,Elective,52
GRD00706,STU006,Music,Elective,57
